Unique_ID,Reviewer_Name,No-of_comment_likes,No-of_comment_dislikes,comment,Ratings,comment_text
31,Rohit G,4,0,Wonderful,4,This phone is totally beast but i face some bugs hope so throw a software it will improve if your budget under 40k you can blindly buy this phone.
32,Flipkart Customer,10,3,Awesome,5,Excellent product.go for it.
33,Thota  Satyanarayana varaprasad,10,3,Excellent,5,Good camera quality Go for it friends.
34,Flipkart Customer,8,2,Fabulous!,5,Osm product vaule of money 💰.
35,Ishwar  Singh ,5,1,Terrific,5,"This  phone is killler in this range...It's a perfect phone with amazing.. processor,camera, performance...so it is such a very nice phone❤️👑..we'll go for it 😚."
36,Tanaya  Dhar,3,0,Brilliant,5,Very nice..I'm fully satisfied 😊😍✨.
37,Flipkart Customer,3,0,Wonderful,4,Awesome Phone 📱Amazing Performance 👏Fabulous Camera 📸Overall performance great📱.
38,Sonu Sharma,3,0,Excellent,5,"Phenomenal product. If u're stepping into OnePlus, go for it.If u're new in it...just be proud to have the best screens and processor out there.."
39,Amit Kumar,3,0,Great product,5,"Loved the phone, there is very Little difference between OnePlus 11 and 11r. Both have 120 hz screen, quite faster charging and great performance. Specially loved the screen, it's bright and has good resolution."
40,Naresh  Gaddam,2,0,Highly recommended,5,Nice camera performance.
41,Afroz  Shaikh,3,0,Pretty good,4,Good looking with best flagship processor 👍With 1.5 day battery backup 🔋also camera is good and display crave looking like primium💕 One plus is back with 11r.
42,Sougata Das,3,0,Worth the money,4,"Everything seems pretty good except the camera , definitely it's not that bad but compared with s21 fe,or vivo v27 pro, it can't even go close, display is just fantastic,."
43,Rajesh Kavali,3,0,Terrific purchase,5,Orally performance is good this pic is night mode so camera performance always nice battery level is good.....
44,KANNCHAN DEBNATH,3,0,Highly recommended,5,Smooth control system and camera quality best....
45,shiva kumar Bhunna,45,38,Terrific purchase,5,Good .nice.
46,Flipkart Customer,7,3,Nice product,4,Phone is very good.curved display is amazing 😍😍.in Box phone plastic cover not good..
47,Flipkart Customer,8,3,Awesome,5,Parfect camera phone baranded.
48,Vikash  Bharati ,11,5,Classy product,5,Nice performance i like this product.
49,Deepesh Sangwhiya,4,1,Classy product,5,"Battery backup is low.But camera, display and performance is awesome."
50,Anurag Singh,4,2,Worth every penny,5,"Had an damn amazing experience with my first OnePlus mobile as 11R . It's a super amazing phone with decent camera at this price point. The processor is at it's best.If you need a mobile at 40k with super amazing processor,haptics and an amazing Dolby Atmos experience then you should just go for this mobile and outstanding screen quality too.Cons:- You should go for Galactic silver colour because the black one is very slippery and mobile is not at compact size, tertiary the selfie camera is ...."
51,raja G,10,7,Terrific purchase,5,Excellent mobilePerformance 5/5Design 5/5Camera 4.5/5Battery 5/5Totally best mobile.
52,Subho  Dey,5,2,Terrific,5,It's a fabulous  product  1 plus..
53,Aamna Khan,2,0,Terrific,5,It's something beyond your own expectations ❤️💗.
54,E.V. Kumar 202,2,0,Excellent,5,It's a awesome.
55,Amit Kumar Vishwakarma Yashwant,2,0,Wonderful,5,Best quality phone OnePlus 11R.
56,elangovan R,2,0,Good choice,4,Nice phone with some heating issues sometimes... battery performance could have been better....
57,Rohit Nishad,2,0,Simply awesome,5,It's Awesome mobile..
58,Ranjan  Thakur,2,0,Simply awesome,5,Superb phone with lowest price.
59,Prabhu Samal,2,0,Best in the market!,5,Just wow.
60,Flipkart Customer,1,0,Value-for-money,4,Super super 📸 quality.
61,Raj Kumar  Saiyam,2,0,Must buy!,5,Overall good phone.
62,Rajput boy Dhiraj,2,0,Terrific purchase,5,Very good phone 👍👍😊.
63,Srikanth Chepur,2,0,Perfect product!,5,Go blindly for this mobile everything good as expected more than.
64,avinash upadhyay,2,0,Delightful,4,Fast charging.
65,Siba prasad Patra,2,0,Fabulous!,5,Amazing phone. Such a good looking and slim phone. Display quality is also amazing. This is my 1st day of use. I will be updates again later..
66,Paramveer Singh,2,0,Excellent,5,This budgies pic i captured from this oneplus 11r and not even on image but if you guys check it from your naked eyes the picture quality is too good.
67,Flipkart Customer,2,0,Terrific purchase,5,Good.
68,Jiyab  Rahim ,2,0,Simply awesome,5,Beautiful ❤️❤️.
69,Abhishek Tiwari,2,0,Excellent,5,Osm PERFORMANCE....GREAT PHONE DON'T LISTEN FAKE REVIEWS PHONE IS BEST AND 90FPS IS UNLOCKED IN PUBG GLOBAL.
70,Bibin J,2,0,Terrific purchase,5,Nice.
71,Bubul Chowdhury,2,0,Must buy!,5,"Nice product but during activation of some important financial apps keyboard isn't working after receiving OTPs that's a tremendous drawback wasn't able to activate those apps OnePlus please look into it. Thanks. Display, audio, video, fluidity just excellent, surprised to see the mobile cool after using for straight couple of hours.."
72,Subhra Sarkar,14,8,Nice,3,It was good but battery drain very fast.
73,Sumit Bisht,3,2,Highly recommended,5,"Awesome 😎 👍Am using this phone for 15 days now. So far it's good . Performance, battery everything is above par. Camera is decent. Primary sensor is brilliant but other two camera sensors are below average. Front camera is okay-ish. Attaching a ultra wide shot below. Overall a good buy at this price range if you don't need a camera centric phone specifically. 5g is working fine. At last but not the least a Value for money phone.."
74,Sunit  Sriwastwa,3,2,Terrific,5,"I have switched from Iphone 13 to OnePlus 11R and trust me guys I never miss iPhone  or regret my decision.Camera, Performance, Display,Battery etc everything top notch.."
75,Flipkart Customer,2,0,Nice,3,Having software issues.
76,gulshan kansotia,2,1,Really Nice,4,camera is not good otherwise phone is powerfulbest phone around 30k.
77,Abinesh  S.a,2,1,Worth every penny,5,Superb phone must buy.
78,Tameem Ansari,2,1,Highly recommended,5,Nice Quality camera.i like this mobile.
79,Harish  Sharma,2,1,Terrific purchase,5,Camera is awesome with sony IMX 890 sensor😍😍.
80,Flipkart Customer,2,1,Great product,5,"Phone was just superb, camera, gaming, charging..⚡ battery life.  display......😘🤍."
81,Flipkart Customer,2,1,Must buy!,5,100watts - superb50mp camera - is the best others are only okDisplay top notch 1.5k curved display5000mah battery okay for 7hrs of screen on time for moderate and 5 hrs with rough useBiggest advantage of the alert sliderMake sure to buy the 16gb ram and 258gb rom storage option..bcs 8gb is not enoughCG5 front and back is so goodBack glass is frosted and buttery to use..Make sure to use caseBuy new case for OnePlus 11r (nillkin 1200 on amazon)Less heat issues.
82,Sarath Sai,1,0,Classy product,5,I really like this phone.
83,SAYANTAN  MISRA,2,1,Terrific,5,"Awesome phone in this segment in terms of performance,camera, Design just awesome i loved this device."
84,Anil Kumar,2,0,Mind-blowing purchase,5,Excellent phone I like it 🥰🥰.
85,Aftab Shaikh,1,0,Classy product,5,Awesome mobile camera like DSLR.
86,Nemraj Parmar,1,0,Excellent,5,Good product.
87,swapnil sawant,1,0,Classy product,5,It's so wonderful mobile thanks to OnePlus I m so happy 😊.
88,Flipkart Customer,0,0,Terrific,5,Nice.
89,Amit Kumar,0,0,Wonderful,5,Very good product.
90,Binesh Shaw,0,0,Mind-blowing purchase,5,Very nice phone.
91,Nabirasul Talikoti,1,0,Highly recommended,5,Nice pics.
92,Anil Rana,1,0,Highly recommended,5,Great phn best camera Quality.
93,Bilal razak Belim,1,0,Great product,5,Only 1 word bestttttttttttt.
94,Pankaj Dhawan,1,0,Mind-blowing purchase,5,Awesome thanks flip kart.
95,SaTyaM R,1,0,Super!,5,One Plus is The Best 😁.
96,HIMANSHU Yadav,1,0,Pretty good,4,This product is very good and value for money.Battery camera and processor so good ...Design also very goodHaptics is brilliantIt feels rich 🤣Overall best mobile under 40k ..
97,Fazil Mohammad,1,0,Perfect product!,5,Best performance snapdragon gen 1 is a powerful processor....And camera is also goodAnd displt is awesome but peak brightness is Low then another devices.
98,Surya  Prakash,1,0,Brilliant,5,Ok.
99,akash Jadhav ,1,0,Highly recommended,5,Good performance.
100,Ganesh Chinnu,1,0,Perfect product!,5,Awesome one plus 11r.
101,Flipkart Customer,1,0,Great product,5,Best one.
102,Flipkart Customer,1,0,Pretty good,4,I use already one plus product it's verry good device in Android phone one plus is best quality and very good product my experience with one plus it's good .....
103,praveen J,1,0,Mind-blowing purchase,5,Good 👍.
104,Debaprosad Bhattacharya,1,0,Just wow!,5,I like this mobile.
105,Isak Malsawmzuala,1,0,Worth the money,4,"Everything is perfect untill i used for 4 months,i face the system ui isn't responding alot and it just turn off while doing things,other that that it was good."
106,Shyni  Sheraf,1,0,Highly recommended,5,I have been using this since 2 weeks. Upto this day performance is 👍. Yh!!! I love this phone 🤗✨.
107,Akash Nabik,1,0,Best in the market!,5,"Awesome product...Battery drain a little fast. However, the fast charging compensates the issue...."
108,Deepak,0,0,Classy product,5,Great smartphone but battery is down.
109,abhi  bouri,0,0,Very Good,4,Good 👍.
110,bijit  kurmi,0,0,Must buy!,5,Good.
111,bharat  Sharma ,0,0,Great product,5,Superb in this price.
112,Sekh Ajijull,0,0,Awesome,5,Impressive 😍.
113,Flipkart Customer,0,0,Very Good,4,"Phone is really good, but if you are looking for a camera oriented phone then it's not made for that.All and all performance is top knotch and design is premium.."
114,Rupesh Kumar,1,0,Simply awesome,5,Good.
115,Vishal Gholap,1,0,Brilliant,5,Fantastic phone for who looking everything you need in this phone and thing that is cameras is very good in night also you can charge any of fast charger it is very best feature.
116,Saurabh Singh,1,0,Terrific purchase,5,Beautiful ❤️.
117,Goureeswar Reddy  Kothapu ,1,0,Best in the market!,5,Good.
118,Fuzail Raja,0,0,Worth every penny,5,Great.
119,Shiva Shankar,1,0,Worth every penny,5,It is fantastic mobile with it's performance and camera and the software and refresh rate is smooth. Overall a flawless mobile.
120,rohidas kobal,1,0,Fabulous!,5,Good.
121,ARUN  MAHATO,1,0,Very Good,4,"Osm product, value for money 🤑."
122,Uttam Singh,1,0,Good quality product,4,Nice product 👌 worth it. Thanks flipkart.
123,Mousumi  Dutta ,1,0,Great product,5,Wow Phone.
124,vimal raj,1,0,Fabulous!,5,Good product for security updates.
125,Nik  kalra,1,0,Mind-blowing purchase,5,Amazing phone. Camera quality is good..
126,Jumit Virdi,1,0,Fabulous!,5,Awesome.....
127,Harsh  Kumar ,1,0,Great product,5,Awesome phone 📱😊😊.
128,Jayesh Dhurpate,0,0,Good quality product,4,"Great phone as far as competition is considered,."
129,MAHBOOB  ALI,1,0,Mind-blowing purchase,5,Camera is very goodPerformance is very fast very smooth bgmi 90 fpsBattery backup is goot Than you Flipkart.
130,subhesh Gupta,1,0,Classy product,5,Super smooth and best design..
131,Sek Mujahid,0,0,Perfect product!,5,Nice camera and performance.
132,Flipkart Customer,1,0,Worth the money,4,Best phone.
133,Flipkart Customer,1,0,Simply awesome,5,Great phone. What a display love it. Haptics are awesome. Performance and features are great..
134,Flipkart Customer,1,0,Classy product,5,All over okkk.
135,Rajat Kumar  Pradhan,0,0,Excellent,5,Honestly working like a charm 😉.
136,salim khan,1,0,Terrific purchase,5,Night Mode Is superb All Performance is superb portate mode is awasome.
137,Flipkart Customer,1,0,Classy product,5,Lovely phone.
138,Partho Sarkar ,1,0,Perfect product!,5,Simply Awesome 😍😍.
139,Nikhil Manhas,1,0,Good quality product,4,Product is good but in night there is so much light from screen   and also some websites not working properly so i use another phone to open that particular site.
140,Ankur Yadav,1,0,Wonderful,5,OnePlus 11R 5G.
141,rehan alam  rehan,0,0,Wonderful,5,GOOD VALUE FOR MONEY PRODUCT FROM ONEPLUS BUT CAMERA IS AVERAGE AND PERFORMANCE IS UNDER CLOCKED BUT GOOD OVERALL EXPERIENCE HAPPY WITH THE ONEPLUS 11R 5G.
142,Taransh Kapoor,1,0,Terrific purchase,5,"It's a decent phone and justifies the price tag. Pretty impressed. I sold my iPhone 13 and got this. The entire unity is crazy about iphones. But they just make fools out of us by just tweaking some features a bit and selling at a higher price tag. The actual manufacturing cost is just 1/3rd of the phones price rest we just pay for all marketing that they do. I just do normal photos and all music and media. I am impressed. Iphones are just made to get status symbols. You cannot record calls, ...."
143,Shivam  Gupta,1,0,Best in the market!,5,I like this phone. Its camera is really nice..
144,WRATH LUCIFER,1,0,Wonderful,5,Super keka wonderful 😘😘😘😘😘.
145,Ritam Pathak,1,0,Mind-blowing purchase,5,"Great phone overall. Display, design and performance is top notch. The camera and battery life is pretty good as well. You might get a better camera with Samsung galaxy S21 FE or Google pixel at this range, doesn't mean this one's camera is bad in any sense. But if your primary focus is on the camera you might want to buy the phones I've mentioned above. Otherwise if you want a phone with smooth performance, fantastic display and a great OS (OnePlus' Oxygen OS is undoubtedly the best except G...."
146,Chiranjit Tarafder,1,0,Simply awesome,5,Good.
147,Anoop Kumar,1,0,Pretty good,4,Front camera is awesome.  Little bit disappointed with main rear camera. Battery back up is good. Charging is very satisfying as charges in 10mins.Also disappointed that no security like Knox by Samsung.  Health app seriously need to be on par like Samsung..
148,Pritam Mohapatra,1,0,Terrific,5,In a single word..I love This 💞.
149,Rahim Ansari,1,0,Good choice,5,OnePlus 11r 5g bast mobile.
150,Gulli koteswara  Rao,1,0,Must buy!,5,very good 👍.
151,Vaibhav Pandey,1,0,Wonderful,5,One of the best smart phone I have ever used. OnePlus you beauty😍.Best Battery performanceBest camera qualityFine display.Simply love it.
152,Routhu.Gowri  Sankar,1,0,Nice product,4,"Good, but battery problem."
153,Flipkart Customer,1,0,Mind-blowing purchase,5,I like the camera quality...n also the colour of phone.
154,Flipkart Customer,1,0,Terrific,5,"This phone has a high quality camera or is worth the price.Touch or screen both are very smooth like an iPhone.Speed or processing is very fantastic.Really best than other Android phones.Battery backup is too great  and charging is very fast, just recharge battery in maximum 20 minutes.."
155,K S Nikhhil,1,0,Classy product,5,One plus is back 😄.
156,Flipkart Customer,1,0,Super!,5,I love one plus.
157,Raghu Nath,1,0,Perfect product!,5,I was using 1+5t from 5 yrs and now 11 R superb display and good performance .....
158,Bobby Bezawada,1,0,Perfect product!,5,It's really awesome👍👏.
159,Kishan Kumar,3,2,Just wow!,5,The phone looks extremely good and the screen quality is top notch. Performance wise smooth like butter. But the battery drains so fast. You will get your phone charged in 20-30 minutes..
160,Vysakh Shaji,2,2,Classy product,5,Superb performance and premium look camera 👌.
161,rohith kumar,2,2,Good choice,4,"Sd 8 gen 1 chip is the main selling point of this phone. Also, it is the main villain for this as it gets heated a lot during heavy gaming  and drains the battery significantly.."
162,Debangshu Das,2,1,Worth every penny,5,Worthy.
163,puliganti rajz Duggu ,1,1,Classy product,5,I love 💕😘.
164,Azeem AH Bashir Ahmed ,0,1,Awesome,5,Love you one plus.
165,Flipkart Satyam Tiwari ,1,0,Fabulous!,5,So happy 🤗🤗🤗.
166,Subhransu Sekhar  Dash ,1,1,Just wow!,5,Nice one.
167,charlie gurjar,1,1,Perfect product!,5,"Awesome product with good camera , music and performance quality .."
168,Pradeep Kumar  PkP,1,0,Must buy!,5,Very nice mobile I like.
169,Prince Kumar,1,1,Awesome,5,"I'm gonna to write down my review after using this one for 30days 1. It has top level of screen with curved display so if you think about phone display it couldn't disappoint you..2. Battery draining fast not very fast so it is too good 3. camera getting the next level of hight at this price segment4. Performance is also good 5. Connectivity is good but some time I've seen partial glitch with 5g comparatively OnePlus 8t6. Video recording experience is very good with main camera, gaming ...."
170,Aalok Kumar,1,0,Perfect product!,5,good.
171,Panche Chotu,1,0,Decent product,3,5g network slow support.
172,Flipkart Customer,0,0,Nice,3,Not so good.
173,ghulam ashraf ali,3,0,Expected a better product,2,Battery  consumption high.
174,Prabhjot Sidhu,2,7,Perfect product!,5,Camera quality like Dlrs.
175,sameer shaikh sameer shaikh,25,1,Worst experience ever!,1,Flipkart gave me Refurbished phone instead of a new one. My purchase date was 26th sept 2023 but this phone was active on 19th june 2023. and they wont take it return..
176,maroti chandankar,0,0,Decent product,3,Superb photography all rounder phone.
177,Sanjay Sharma,0,0,Best in the market!,5,Nice phone exlent phone.
178,Anjali Wankhede,1,2,Does the job,3,"COMPLETELY GENUINE REVIEW AFTER 1 MONTH OF USEPros:The OnePlus 11R camera is decent at this price range! It has a good OS, much more customizable!Superfast Charging! (20 to 80% within 30 minutes)Cons:Superfast Charging is great but equally there is a disadvantage: it's fast battery draining!(Runs only a day)Heats more than warm while photography or shooting even at standard/default settings!It has not up to the mark performance comparable to this price range though it has Snapdrag...."
179,Pandu As,0,0,Wonderful,5,Best segment on this price.
180,Kaushik  Dutta,0,0,Terrific,5,Awesome product from One Plus must buy in affordable price.
181,champalal b suthar,0,0,Perfect product!,5,Design 👎.
182,Adrize  Chatterjee,0,0,Simply awesome,5,Best camera.
183,Sumit Chadar,0,0,Pretty good,4,Camra 5/3.
184,Flipkart Customer,0,0,Worth the money,4,Very very good phone 🤳🤳📱.
185,Borra Subbu,0,0,Terrific,5,Good 😊 work 👏👏.
186,Shubhadip Samui,0,0,Nice product,4,Very good product......
187,Flipkart Customer,0,0,Terrific purchase,5,Every thing is very good.
188,rameshwar patil,0,0,Terrific purchase,5,nice product.
189,prasanth teneti,0,0,Worth every penny,5,Good lo very good.
190,Swastik Tiwari,0,0,Best in the market!,5,Worth it.
191,Sabareesh Umesh,0,0,Excellent,5,Worth for money.such a premium phone.
192,Rohit Thakur,0,0,Perfect product!,5,Good Camera.
193,Ravi Solanki,0,0,Fabulous!,5,Nice mobile.
194,M.d Hossain,0,0,Great product,5,Very nice phone.
195,Chetan Thakare,0,0,Mind-blowing purchase,5,Very nice performance and camera is awesome 🤩Must buy 🤩.
196,Ajith M,0,0,Really Nice,4,Camera average but optimus is goodPerformance good.
197,Ajitsingh Ph,0,0,Classy product,5,Nice product.
198,Victor Lawmtea,0,0,Good quality product,4,very good product.
199,Chintapalli jyothsna supriya,0,0,Nice product,4,Good👍 go.
200,prasanta kumar  minz,0,0,Perfect product!,5,Nice.
201,Veenu Sinha,0,0,Super!,5,Good.
202,Flipkart Customer,0,0,Simply awesome,5,Nice phone 🙂🙂👍👍.
203,Raju Roy,0,0,Super!,5,Best Quality....
204,Gubendran MG,0,2,Just wow!,5,I like very much fast performance camera super smooth and fast.
205,Sivaprasad Sunkara,1,2,Pretty good,1,Super excellent 👌👌.
206,Soumya Halder,0,0,Terrific purchase,5,performance camera battery superb.
207,Naga Durga ,0,0,Must buy!,5,Super.
208,Raju Mondal,0,0,Pretty good,4,Overall good items.
209,Rohit Chudasama,0,0,Pretty good,4,Super.
210,Rohan Molla,8,5,Worthless,1,Very disappointed with one plus......my charger blasted within 7 days after purchasing the mobile.......
211,Reddi Sekhar,0,0,Really Nice,4,Good.
212,Arsh Ansari ,0,0,Nice product,4,Under 40k is best deviceOwesome displayDecent camera.
213,Sandeep Kumar,2,4,Useless product,1,Total useless product.
214,Flipkart Customer,0,0,Must buy!,5,Osm ❤️.
215,Kingston S,0,0,Great product,5,Good 👍.
216,Pola jayaranga Pola,0,0,Excellent,5,Aswam working.
217,Raja Mandal,0,0,Terrific,5,Good.
218,Flipkart Customer,0,0,Worth the money,4,Awsm product.
219,Raman Kumar,0,0,Simply awesome,5,Good.
220,Sameer  Patra,0,0,Wonderful,5,I like it.
221,Pranshu Chauhan,0,0,Brilliant,5,Good 👍.
222,Neetu  Sharma,0,0,Classy product,5,Good.
223,Flipkart Noob,0,0,Could be way better,2,Battery parformance very poor hitting issauuuuuu.
224,Ashish Goswami,0,0,Value-for-money,4,Best.
225,Manikanta  Lanka,0,0,Good choice,4,Jest ok.
226,Mukesh Shakya,0,0,Good quality product,4,In hand feel is so premium also very smooth in gaming and camera 📸.
227,Mahesh kumar meena Meena,0,0,Excellent,5,Good.
228,Amarnath Mishra,0,0,Worth every penny,5,Awesome.
229,Karan  Kumar,0,0,Perfect product!,5,Nice.
230,Pijush Jitu,0,0,Wonderful,5,All over performance good👍.
231,Suhan Ahmed ,0,0,Simply awesome,5,Good One 🖇️.
232,NARENDRA MISHRA,0,0,Terrific,5,Awesome.
233,Ajit kumar Kumar ,0,1,Perfect product!,5,Super duper mobile and camera very nice selfie and front.
234,Saptarshi  Dasgupta,0,0,Just wow!,5,The best product in this prize range.
235,akilan akilan,0,0,Super!,5,Nice 📸.
236,Vikash Kumar,0,0,Classy product,5,Thxx.
237,Flipkart Customer,0,0,Just wow!,5,Out standing.
238,Sagar Mohanty,0,0,Super!,5,Out standing performance.
239,Naina Arora,0,0,Brilliant,5,the picture is too clear.
240,Rakesh kumar Sahu,0,0,Must buy!,5,The product is fabulous product.  I love it.
241,Deepak Pathak,0,0,Brilliant,5,Nice phone...
242,PAVAN GANJI,0,0,Terrific,5,"Worth for Money 💰 Killer chipset 8+gen 1 is the best Performance in BGMI high Graphics, Battery 🔋 Capacity and 100 watt Super hook 💪 Camera 📸 Quality......."
243,Ansarul,0,0,Nice,3,Good 👍.
244,Sudhir Gupta,0,1,Expected a better product,2,When Mobile is hangs then it will not opened before 20-30 min.
245,Flipkart Customer,0,0,Just okay,3,"Don't buy it There is a software issues, automatically switched off and updating.."
246,Prasad Allada,0,0,Super!,5,Good 💯.
247,Umme Sufiya,0,0,Mind-blowing purchase,5,Nice product thank you Flipkart and OnePlus.
248,vinod Kumar  meena,0,0,Good choice,4,Super.
249,Rahul  Yadav,0,0,Slightly disappointed,2,Average.
250,Rishabh Sharma ,0,1,Terrific,5,Amazing performance.
251,Riyaj Pathan,0,0,Simply awesome,5,Good.
252,Flipkart Customer,0,0,Classy product,5,One of the best phone I purchase.
253,Mohammad  Maruf,0,0,Must buy!,5,Very good product.
254,Pawan Kumar,0,0,Terrific purchase,5,Increase my limit.
255,Indresh  SL,0,0,Just wow!,5,Value for Money and performance is good..
256,Happy  Clasher ,0,0,Terrific,5,Good product I've bought this because it's charging speed and the looks of this phone.
257,Vedi Vedi,0,0,Terrific,5,Super mobile I really loved it.
258,dinesh kumar  vishwakarma,0,0,Brilliant,5,Very good phone.
259,Satya Lenka,0,0,Wonderful,5,Nice.
260,Syed Abid,0,0,Highly recommended,5,Flipkart and very nice good service.
261,Flipkart Customer,0,0,Worth every penny,5,So Far it is meeting my expectations.
262,Sonu Yadav,0,0,Highly recommended,5,Nice phone.
263,Flipkart Customer,0,0,Value-for-money,4,I like this product.
264,Anjali  Maurya ,0,0,Worth every penny,5,Gd.
265,harsh Vashishtha,0,0,Classy product,5,"I can't expect a better phone than one plus 11R. It is a complete package. It deserves full marks in every segment. I tried out to figure out the cons, but failed. It is just awesome. Camera is superb, battery is perfect. The charger is great.. this phone is really STUPENDO FANTASTICALLY FANTASTICAL.."
266,Aadhya  Kashyap ,0,0,Awesome,5,Awesome look.
267,Mahendar K,0,0,Fabulous!,5,Good one.
268,Flipkart Customer,0,0,Terrific purchase,5,Good.
269,Puja Maity,0,0,Really Nice,4,Nice product 🥰🥰🥰⭐⭐⭐⭐.
270,Tanu,0,0,Excellent,5,Excellent product 👍.
271,Md Jawed Alam,0,0,Just wow!,5,Impressive.
272,Md Ali  Hussain ,0,0,Nice product,4,Good product I love it.
273,Hemanta  Dash,0,0,Expected a better product,2,Better not brack of.
274,Glezing  Jyoti ,0,0,Mind-blowing purchase,5,Top model mobileCamera A1 i ❤️ this ph.
275,Ankit Mohod,0,0,Worth every penny,5,Review after using for 3 months.Performance great.Camera good.Display great.No glitches.One of the best at this price..
276,Vishwas Shetty,0,0,Best in the market!,5,Nice phone.
277,mayank  arora,0,0,Brilliant,5,Nice product.
278,Prasad Bhosale,0,0,Brilliant,5,It's good.
279,DAVOOD DARs,0,0,Just wow!,5,Superrbb.
280,Maheswar Munda,0,0,Must buy!,5,Osm.
281,Sunny Devlekar,0,0,Super!,5,Awesome 📱👌.
282,MY self Pijus,0,0,Just wow!,5,The camera is awesome. night mood 🌙 is ❤️❤️Phone is awesome all are good.Bt phone is too sensitive. Without temper glass and back cover don't use ....
283,Khehang  Tekwa,0,0,Best in the market!,5,Awesome 👍.
284,Flipkart Customer,0,0,Perfect product!,5,Super.
285,Prithvi Raj,0,0,Worth the money,4,Good.
286,Mohammad  Nayeem,0,0,Fair,3,Nice product I'm happy.
287,Amit Customer,0,2,Don't waste your money,1,Bad.
288,jignesh  mali,0,0,Brilliant,5,Nice mobile.
289,Piya Ram,0,0,Great product,5,Very nice.
290,RAHUL KUMAR,0,1,Worst experience ever!,1,So bad.
291,Hiren  Narzary,0,0,Pretty good,4,Overall good phone.
292,Ketan Bhojaiya,0,0,Terrific purchase,5,Awesome gaming performance 🔥.
