Unique_ID,Reviewer_Name,No-of_comment_likes,No-of_comment_dislikes,comment,Ratings,comment_text
66,Koushik Rajabala,6,2,Brilliant,5,I like the design and experience this not an heavy device but you can go for under 30k.
67,Snehasish Mondal ,6,2,Terrific,5,"The OnePlus Nord 3 impresses on all fronts, delivering a powerful and well-rounded smartphone experience. It strikes the perfect balance between performance, design, and affordability, making it a strong contender in the mid-range smartphone market. If you're in the market for a capable device without breaking the bank, the Nord 3 should be at the top of your list.Pros:Exceptional performanceStunning AMOLED display with high refresh rateSleek and premium designEfficient OxygenOS softwar...."
68,Flipkart Customer,4,1,Value-for-money,4,It is the best smartphone for everyone who is looking for an all rounder phone under 25k.I was worried about its reviews about heating and battery drain but in my device there is no such problem. Yeah this device slightly heats up while gaming or heavy tasks but it is normal these days.Overall a good value for money smartphone..
69,Siltu Samanta,13,9,Highly recommended,5,Nice ??.
70,amol Suryawanshi ,4,1,Terrific,5,Camera is good.
71,Ranjeet singh,2,0,Delightful,4,Review after 1 monthBattery quite good but when using and game like pubg COD it's so heatedCamera 8/10Battery 8/10Performance 07/10 heating issueLook wise 09/10Map continue 06/10 battery draining fastNetflix 07/10 battery draining fast.
72,Ripan Sutradhar,1,0,Really Nice,4,Great smartphone.
73,Flipkart Customer,2,0,Worth the money,4,"Very nice mobile, but average cameras??."
74,Flipkart Customer,2,0,Good quality product,4,"Amazing photo Quality, Display Screen is Wow  Overall Mobile Is Good."
75,Atul Kumar  Gautam,2,0,Very Good,4,Good product.
76,Tharun Chandra sekar,2,0,Really Nice,4,All are ok but battery so drain to fast ??.
77,Ayush kumar patel Customer,2,0,Good choice,4,Very good phone ????????.
78,Sisira Malik,2,0,Wonderful,4,A most powerful phone.
79,Nandu  K,2,0,Really Nice,4,Good product.
80,Flipkart Customer,3,0,Decent product,3,"This phone is very good.But i am giving it 3 stars because of its battery.I am not satisfied with the battery.I also downloaded some updates but it didn't improve the battery performance.I hope OnePlus will optimise the battery usage in future updates.Other than battery, the phone is good.It heats but it is not a big issue for me.If you are getting this in 20k something, you can definitely buy this if battery is not a big issue for you because this phone comes with 80w fast charger and...."
81,Flipkart Customer,2,0,Great product,5,All is good ?? But battery ?? drain very fast.
82,Pappu Kumar,2,0,Highly recommended,5,Good phone in this price range.
83,Umakant Sharma ,2,0,Best in the market!,5,Good product.
84,Flipkart Customer,2,0,Terrific,5,OnePlus Nord 3g mobile is so good.
85,Charan Sai,2,0,Fabulous!,5,Display top-notch Design superbPerformance awesome Camera is good and decent Battery:- drains fast due to high performance and display quality :).
86,Milan  Das,2,0,Classy product,5,Mobile is very good ??But battery ?? is drin justBut havy gaming phoneDesign is good back side.
87,Nishat  Khan,2,0,Classy product,5,This phone is very good.It doesn't hang.It gets fully charged in 30-40min.sometimes phone is heating.Battery backup is for one day.overall everything is good and battery backup is average..
88,Swapnaneel  Sarkar ,2,0,Highly recommended,5,It is a nice product and I am satisfied with the delivery experience..
89,Harish  Tembhurne,1,0,Worth every penny,5,"Awesome for daily use but battery is not enough for a day, it drains in Little use also but charging is awesome.."
90,Altamash  Tanweer ,1,0,Mind-blowing purchase,5,Very much satisfied with the performance except battery as it is draining quicker than expected and the phone get warm..
91,Deb Chef,2,0,Terrific,5,Superb qualityBattery backup 5Performance ??Camera ?? wow.
92,Flipkart Customer,2,0,Great product,5,It's just awesome I truly loved it. The design the performance the haptic feedback everything is just perfect. Totally worth it..
93,Viku  Gouda,1,0,Excellent,5,Super camera.
94,Flipkart Customer,2,0,Worth every penny,5,"Awesome phone, very good performance, camera is good but not wonderful... Display is very nice and smooth..... Go for it????."
95,Suraj Chaurasiya,2,0,Just wow!,5,Awesome phone from OnePlus. Camera quality is good... battery also good. Performance is awesome. Little expensive but ... good phone.
96,Sumit Kumar,2,0,Worth every penny,5,Good mobile but design not premium as per this price rangeOver all good mobile with All functions that everyone wantsCamara goodPerformance goodBattery averageScreen goodLight weight good.
97,Md Hossain  Molla,6,4,Very Good,4,"This phone is good but the price is too high, the camera quality would be better, the battery is good But I want to inform everyone that there are better phones available at this price."
98,sanjay thomas,6,4,Great product,5,"Mobile is wonderful, the display, speaker, camera. Only battery is of not that standard. Overall love it.."
99,Sima Sardar,3,1,Great product,5,Best phone.
100,Ashish Kumar  Kasota ,3,1,Brilliant,5,Good performance Night photo.
101,Flipkart Customer,5,2,Fair,3,There are a couple of issues with this phone.1st is the battery drainage problem. Battery is getting drained very fast.2nd is heating issue. It is getting heated very high during charging or If you do multitasking for sometime.3rd is camera performance. It is the worst I have ever seen. Phones in 20-25k price range have much better camera performance than this..
102,Pulkit Rathi,2,0,Nice,3,"Phone is nice. Looks good in hand. But there is a massive battery drain issue. I can't even use it with minimal work for a full one day without charging. I had to disable 5G, location services and reduce screen refresh time just to extend a few hours. Charging is fast but you'll need to charge this phone very frequently.."
103,sudhiranjan dash,2,0,Good,3,Mobile is good but battery backup is very poor.
104,Piyush Sinha,2,0,Does the job,3,Battery is not good.
105,Flipkart Customer,2,0,Fair,3,"After 3 months of use, I am facing a lagging problem when I play the PUBG in a good network.. very worst  experience with this phone waste of money... The camera and battery is good.."
106,sujoy biswas,2,1,Very Good,4,Good product but hit issues.
107,Surendra Bhat,1,1,Very Good,4,Design feels premiumDisplay is very goodBattery lasts more than 14 hours for moderate userPerformance is smoothCamera wil take good pictures but after taking photo in the gallery AI will change some of the real tone of the image 4.5/5.
108,Antim kumar  Saroj,2,1,Pretty good,4,Nice mobile...
109,Pranoy Chakraborty,2,1,Good quality product,4,"The OnePlus Nord 3 is an exceptional smartphone, boasting an impressive blend of powerful features and a sleek design. *Its high-quality 6.7-inch AMOLED display delivers stunning visuals, offering a delightful viewing experience for media and gaming. *With its Flagship processor and 5G capability, the Nord 3 ensures smooth, lag-free performance, making multitasking a breeze. *The camera setup, including a versatile Triple camera system, captures detailed and vibrant photos but could be ...."
110,Chetan  Chavan ,1,0,Value-for-money,4,Awasome gret lovly ????????.
111,Devanand Singh,1,0,Pretty good,4,Everything is good except battery life.
112,Prince  Dhami,1,0,Wonderful,4,Phone is good but battery backup is ok ??.
113,Ajijur Rahman,1,0,Nice product,4,great product . go for it.
114,Nayan  Chakraborty ,0,0,Delightful,4,Nice.
115,Nishant Kumar Sharma,0,0,Wonderful,4,Expect more from camara.
116,Amar Kumar,0,0,Wonderful,4,Nice ?? phone.
117,Omm Mishraaa,1,0,Good choice,4,No doubt camera and performance is preety good?????? but it have heating issue ?? night camera is superb ????.
118,HIMANSHU . ,0,0,Very Good,4,All good?? but battery very fast drain ??.
119,Sai Pavan,1,0,Good quality product,4,"Battery is not upto the mark.Stunning looks,Camera could have been better.Overall a nice phone for 21k.."
120,Jagan Khuntia,1,0,Nice product,4,Value for money.
121,abhishek singh,0,0,Worth the money,4,Tnx.
122,Sandeep Dhurwey,1,0,Nice product,4,Amezing.
123,Pearson Shiveilu,1,0,Pretty good,4,Still observing..
124,Arpan Sarkar,1,0,Worth the money,4,Camera - 8/10Battery 7/10Performance - 9/10Display - 9/10This a excellent choice for gamers.
125,Rakesh Roshan  sahoo,1,0,Pretty good,4,I used this device  last 10 days.its  heptic vibration is too good.I think oneplus will be working on battery department..
126,Flipkart Customer,1,0,Delightful,4,Good performance.
127,Nayan Jyoti  Kurmi,0,0,Wonderful,4,Mobile is good but battery drained very fast.
128,R S Andewadi,1,0,Pretty good,4,Mobile is best for best price but ram is down and update many features  and increase the system camera quality and their charging anthems and it has only a single flash don't 2 it has micro camera and 50 mp camera and front selfie camera  and another one is not worked   processing is fast.
129,Kanteshwar  Ravikanth ,1,0,Good choice,4,Just ok.
130,Kamarudin Khan,0,0,Very Good,4,One of the best all-rounder phone under 30k.
131,Prakash Mohali,0,0,Value-for-money,4,"Everything is smooth, ,but Battery performance is some little bit.."
132,Om Prakash Prakash,1,0,Delightful,4,Good.
133,Madhusudhan J.S,1,0,Value-for-money,4,Good for regular use....but battery drain issues.
134,Naveen Kumar,1,0,Really Nice,4,My Review After two weeks of usage.Pros : Display is good and battery can full charge within 30mints. Camera also goodCons : feeling like battery is draining fastly and coming to performance some times facing lag issues. Overall we can buy this if we get around at 26k.
135,Prashant Choudhary,5,3,Nice,3,"After using 1 month all good like performance,display, camera, design, only issue with battery performance which is unacceptable only getting less than 5 hour screen on time after 2 update by OnePlus still no improvement in battery performance.."
136,Amarendera Mohanty,3,2,Terrific purchase,5,Not bad.
137,Sangeeta Pal,3,1,Nice,3,Heats then throttles and drains a lot of battery.
138,Flipkart Customer,2,1,Highly recommended,5,"Hey guys writing my review after 3 weeks of useHeres a excellent ?? monster performance sleek under your budgetCamera was really awesome both front and rear You will find the magic in each and every shots though you are not a pro photographerSystem update was time to time One of the fastest 5G bandsAnother advantage of Nord 3 is it's ?? INBOX supervoc ,80 w charger ,which hits 100 within 10 mins to 12 mins of Max8% to 50%in 5 mins ,most trustable charging segment in the critical ...."
139,Seelam  Chandu ,2,1,Great product,5,Nice camera quality.
140,Chandra  Mohan Jha,1,0,Best in the market!,5,Nice ????.
141,prakash taware,1,0,Worth every penny,5,Camera superbAnd performs good.
142,Flipkart Customer,1,0,Terrific,5,Soft mobaile is goo.
143,Anshu Kumar  Sharma,1,0,Must buy!,5,Cool in proce.
144,Prachi  Rasal,0,0,Excellent,5,THE PHONE WAS SO GREAT ?? AND THE CAMERA WAS SO NICE IN DAY LIGHT THE PHOTOS QUALITY IS GREAT AND IN BGMI GIVES 90FPS AND BATTERY IS SO MUCH GREAT THE SCREEN TIME IS 11.25 HRS BUT I CHARGED 2 TIMES ONLY THE PHONE GIVES VERY GOOD BACK UP.
145,Vijay12 Roy,0,0,Classy product,5,Osm phone or value for money ???.
146,KRISHNA MOHAN TIWARI,0,0,Must buy!,5,Good looking ........m.......
147,Flipkart Customer,1,0,Excellent,5,Nice camera quality photo Good phone.
148,Ankit  Yadav,1,0,Just wow!,5,???? best product. Value for money.
149,Chandan Saha,1,0,Fabulous!,5,Phone is really good under 21k.  But the better is average not to much good and the performance was like beast in this  range and the other like design and camera is good. overall the phone is good. GO FOR IT..
150,Subham Mouri,1,0,Simply awesome,5,Love OnePlus ??.
151,Harjot Singh,0,0,Wonderful,5,Battery is ok or rather decent Performance is great at this priceCamara is also good at this priceDesign is really outstanding Display is the best feature of this phone I guess.
152,Vasanthakumar ,0,0,Worth every penny,5,Super best mobile.
153,Somveer  Yogi,0,0,Excellent,5,"It's nice...camera quality very good, performance is good."
154,Prince  Yadav ,0,0,Mind-blowing purchase,5,Nice performance this mobile Nord 3.
155,Flipkart Customer,0,0,Worth every penny,5,Its good prod.
156,Thirupathi B,0,0,Very Good,5,Good product and camera excellent but battery drain is fast.
157,Suraj Kumar  Sahani,0,0,Simply awesome,5,Good product.
158,RAJAT ARYA,1,0,Terrific purchase,5,Good PhoneNo battery issue.
159,Himanshu Sharma,0,0,Brilliant,5,"I'll update my review after some time,so far looks good."
160,Flipkart Customer,0,0,Terrific,5,Awesome.
161,Flipkart Customer,0,0,Just wow!,5,Best for this price. Go for it.
162,Flipkart Customer,0,0,Terrific purchase,5,Camera is good and battery is not good display is good over all experience is good software latest update is available this is good.
163,Ashish Kumar chaudhary,1,0,Wonderful,5,Battery backup is very poor??Display is wonderful??Prosseser like a wow but hitting problem??Disign very beautiful ??Nice product in this range??.
164,Flipkart Customer,1,0,Highly recommended,5,Supar ????????.
165,sunil dhaker,1,0,Best in the market!,5,Very nice oneplus.
166,Flipkart Customer,1,0,Perfect product!,5,Product is very good premium look and their design was awesome and only thing which can reduced his experience are battery and heating only this problem can occur.
167,Arunesh Siddhartha,1,0,Simply awesome,5,Good and gaming is awesome ??.
168,Flipkart Customer,1,0,Super!,5,It's Camera is very nice ????...
169,Atul Aditya,1,0,Super!,5,"Great phone , especially at the price of 23k."
170,Edupalli Radha,1,0,Great product,5,Product is very goodWorth for money.
171,Sajanpreet Singh,1,0,Simply awesome,5,Good product.
172,Poulami Jana,1,0,Wonderful,5,Nice phone.
173,Soumik Pal,1,0,Brilliant,5,No doubt it is a very good mobile for allround.
174,yogesh tiwari tiwari,0,0,Excellent,5,good product just fix heating issue via update.
175,Chandan Sarkar,1,0,Just wow!,5,All good. But Battery Drain problem..
176,Sahil  Singh,1,0,Terrific,5,Also great but heating issue.
177,SUYOG LOKHANDE,1,0,Mind-blowing purchase,5,Good Design and aesthetics. Best battery life for normal use.
178,adarsh singh,1,0,Worth every penny,5,Very good phone under 25k.
179,Flipkart Customer,1,0,Highly recommended,5,Good Camera.
180,Arvind  Saini ,1,0,Wonderful,5,It's an amazing one plus phone every feature is so good....
181,Zunera Fatima,1,0,Highly recommended,5,Good looking nice phone.
182,Flipkart Customer,1,0,Classy product,5,This phone is very good ??.
183,Flipkart Customer,1,0,Good choice,5,Good.
184,Preetam Das,1,0,Terrific purchase,5,Great.
185,Pangothu javindar  Javindar,1,0,Great product,5,Overall good but iam not recommended for pubg game play   full lagg  issues.
186,Bhawan Negi,1,0,Simply awesome,5,All good but battery' low.
187,Vikas Kumar,1,0,Brilliant,5,Phenomenal.
188,kailash jena,1,0,Classy product,5,Very good ????.
189,Birendra Kumar,0,0,Classy product,5,Awesome phone made by OnePlus..
190,Rahul  Chouhan ,1,0,Perfect product!,5,Great performance ????????????.
191,Wasim Choudhary,0,0,Wonderful,5,Nice phone performance good ??.
192,Ravi Ghaaru,1,0,Classy product,5,Overall very good but camera is slightly low quality.
193,Arpit  Umate,1,0,Must buy!,5,Best for 30k cameras are awesome ??.
194,DIPAM  Halder,1,0,Wonderful,5,OnePlus note 3 5g camera quality is good??.. Gaming parform is good ??. Display quality is excellent ??..
195,SOUMYA RANJAN LENKA,1,0,Fabulous!,5,Nice.
196,Rina Renthlei,1,0,Excellent,5,Good.
197,Marcus  Lalfakzuala,1,0,Classy product,5,"It is a good phone on this price range, Camera is ok, BGMI with smooth 90fps for gamer. And the design is really cool.."
198,Arghya kumar  Patra,0,0,Terrific,5,Very good mobile and performance.
199,Sunil Panday,1,0,Must buy!,5,Stable phone on all marks.
200,Biranchi Narayan sahoo,1,0,Just wow!,5,Xlent product.
201,Yogesh  Sonwane,1,0,Fabulous!,5,Every thing is soo good about this phone..
202,Imran  Farooqui,0,0,Great product,5,It's very awesome and fantastic and very much for good for me.
203,Ranjit Kumar,1,0,Classy product,5,Mind blowing.
204,kuramdasu manikanta,3,2,Just okay,3,"Hanging started after 3 months hanging, hanging, hanging."
205,Kalyan Charan VSG,2,2,Brilliant,5,Nice product so far. Battery life is 20 hrs on 34 min full charge. The camera quality is decent. Overall good but I. The current price range..
206,bincy vincent,2,0,Could be way better,2,over heating at its peak and no return option .worst purchase ever??.
207,Prakash Verma,1,0,Nice,3,It's good.
208,Raja Kumar,0,0,Just okay,3,Good.
209,Purnima Kumar,1,0,Nice,3,"It heats up very fast, and discharges fastly."
210,Flipkart Customer,1,0,Nice,3,Lag perfo.
211,Raja  Babu ,0,0,Good,3,Excellent ????????.
212,Venu Gopal Racharla,0,0,Nice,3,battery discharging rapidly.
213,Flipkart Customer,0,0,Just okay,3,The performance is awesome but  the phone heats up very quickly and the battery life is only 4-5 hours..
214,Amit Gupta,0,0,Good,3,"Good Mobile, but heats up during routine use (even without games), battery life is short. Avoid this mobile."
215,Anke Omnath,0,0,Fair,3,Battery performance is very Poor.
216,Flipkart Customer,1,0,Does the job,3,Not much good just ok look wise nice battery average camera average fingure print takes some times.
217,vanantharao kotakonda,0,0,Decent product,3,Battery is drain fast charging ok Battery drain fast.
218,Rajasekaran Selvam,1,0,Decent product,3,So much disappointed with battery performance.
219,Piyush Kumar,1,0,Decent product,3,"A good overall product. Main camera is great but selfie camera is below average. Battery is unpredictable, works for 8 hours one day and next day runs only for 5 hours. Fast charging works great. 8 gb Ram varient is slow and needs ram extension to work smoothly.Suggestions: increase your budget and buy 11R."
220,Dharmendra Ahirwar,1,0,Fair,3,As per my experience Average phone. Not bad but also not good. Battery ?? drain with high speed. Charge only in 40 minutes. Camera quality good..
221,Dipak Todase,0,0,Good,3,Nice camera.
222,Raman Chouhan,1,0,Fair,3,Nice and beautiful mobile one plus Nord 3Performance very smoothly working nice.
223,Sumanta  Kirsani ,1,0,Decent product,3,Good and fantastic.
224,Zenitsu Agt,1,1,Wonderful,4,"Nice phone  I love it , smooth and  easy to use , camera suprb, design like iPhone,and the gaming performance Is Good,bgmi extreme plus.."
225,Flipkart Customer,1,1,Does the job,4,Value for money.
226,putta Mahesh,117,26,Worthless,1,Battery draining sooo fast with out operating also drains very fast very bad experience in battery ?? performance.
227,Satishbabu Sandepogu,1,1,Must buy!,5,Super camera.
228,BIJAN DAS,1,1,Highly recommended,5,Very balanced phone with clean softwareBattery life can be improved.
229,Sabir Ansari Ansari,121,35,Absolute rubbish!,1,Battery performance is verypoorHighest screen time is 5 hours on normal usesDon't waste your money on this mobile because bettery back-up is very bad ????.
230,irfan Ansari ,1,3,Terrific,5,OnePlus Nord 3 most beautiful phone cemara qualityes ek no. Value for money ??.
231,Kirit Patel,2,0,Could be way better,2,Battery issue.
232,Md Jauhar Imam,0,0,Absolute rubbish!,1,Bad product for phone.
233,Flipkart Customer,0,0,Fabulous!,5,Super mast fhone.
234,Aman Sahani,0,0,Great product,5,Very good.
235,Dr Dhamodharan  Ram,0,0,Terrific purchase,5,Awesome product.... With an unimaginable price .... This is a wonderful deal .... Person who  buys the product at this time are the lucky ones .. best value for money ever.
236,Asik  Iqbal ,0,0,Nice,3,Battery drain very first and heating problem.
237,Vikash Yadav,0,0,Worth every penny,5,Nice.
238,SUJIT CHOUHAN,0,0,Fabulous!,5,Nice pic.
239,Flipkart Customer,0,0,Good choice,4,Nice camra thank you Flipkart.
240,Khalid .,1,3,Worst experience ever!,1,Please don't waste your money.Don't buy OnePlus nord 3 mobile.Battery drain issue.update issue..
241,Ronak Patel,0,0,Perfect product!,5,Good camera ?? quality..
242,Souvik Mukherjee,0,0,Worth every penny,5,My favourite phone ??????????.
243,Flipkart Customer,0,0,Value-for-money,4,It is overheating it reaches 44 degree celcius if used outside and the rest about this phone is good.
244,Chinmaya Nayak,0,0,Mind-blowing purchase,5,"Value for money, nice product."
245,Binod Kumar Barai,0,0,Fabulous!,5,Awesome overall very good.
246,Omg Omg,0,0,Must buy!,5,The phone is excellent if you can get it under 22k . Battery life will disappoint you but charging speed makes for this.The camera is excellent.And the low light performance is amazing..
247,Sumit Goyal ,0,0,Value-for-money,4,"Please extend battery life , running only 4-5 hours once fully charged."
248,Sourav Nayak,0,0,Worth the money,4,Average Battery and camera is good not best buy it if available under 20k.
249,Harish Krishan,1,4,Slightly disappointed,2,Battery issue charging for drying fast not bye thus phone vgggyy yyyyy.
250,Shubham Raj,0,0,Pretty good,4,All thing is good but battery drain is very fast.
251,shrikant kanade,0,0,Good choice,4,Nice value for moneyFacing some battery drain issue..Other wise best phone under 22k.
252,Salman Khan,0,0,Did not meet expectations,1,Very bad battery ?????? and over heating ??????.
253,Monu ja8v,0,0,Just wow!,5,Best product.
254,Rahul Chaudhary,0,0,Decent product,3,Not a successful phone.
255,PANESH KUMAR,0,0,Simply awesome,5,Great.
256,Flipkart Customer,1,4,Expected a better product,2,this product battery problem.This phone waste of money.Battery not working.
