,Unique_ID,Reviewer_Name,No-of_comment_likes,No-of_comment_dislikes,comment,Ratings,comment_text,word_counts
360,361,Flipkart Customer,0,0,Worth the money,1,Awsm product.,20
249,250,Akash Nabik,1,0,Best in the market!,1,"Awesome product...Battery drain a little fast. However, the fast charging compensates the issue....",139
1083,1084,pathan gulzamir,0,0,Terrific purchase,1,Good.,9
796,797,Naveen Kumar,1,0,Really Nice,1,My Review After two weeks of usage.Pros : Display is good and battery can full charge within 30mints. Camera also goodCons : feeling like battery is draining fastly and coming to performance some times facing lag issues. Overall we can buy this if we get around at 26k.,414
312,313,Aalok Kumar,1,0,Perfect product!,1,good.,9
66,67,Shyam singh,3,1,Terrific,1,Osm.,8
1269,1270,Chitranjan  Kumar ,0,0,Super!,1,Over all phone is excellent.,44
556,557,babu M,0,0,Awesome,1,Nice.,9
1001,1002,Flipkart Customer,0,0,Best in the market!,1,It is a good phone. Its a value for money . No sich bloatwares are present clean ui beautiful design .performance is good but needs some optimisation for games.,248
1142,1143,Dipti Panda,0,0,Great product,1,I like it's all product but that cover of mobile is good because it gets black spot every 2 days.,158
962,963,Flipkart Customer,0,0,Just wow!,1,Good product..,21
948,949,Santosh kumar Sundesha,0,0,Good choice,1,Best phone.,18
642,643,Samarth Singh,0,0,Good quality product,1,Phone is good but not for gamers  Photo is good but But sometimes UI gives problem.,131
190,191,Vikash  Bharati ,11,5,Classy product,1,Nice performance i like this product.,56
1135,1136,vansh doshi,0,0,Terrific,1,Best ????.,17
681,682,anirudh ganwal,13,1,Best value for money,1,"At 22k, there's no way you can find a better phone..",86
795,796,Madhusudhan J.S,1,0,Value-for-money,1,Good for regular use....but battery drain issues.,71
447,448,Pavan,0,0,Worth the money,1,Good product.,20
679,680,satish kumar,36,8,Nice product,1,Wow.,8
1232,1233,Surjit Kumar,0,0,Brilliant,1,Yes but battery is less.,40
591,592,Flipkart Customer,0,0,Simply awesome,1,Super one.,17
932,933,Aswin Biju,0,0,Very Good,1,"bought it for 21k, best for this price Camera is average but GCAM is the saviour hereBattery is good not great -6hrs SOT plus 1hour call+ SpotifyDisplay and in display fingerprint is excellent Design - I like the design very much - a copy of Asus Zenfone Performance is great, iam not a gamer, I don't use performance mode either.",511
10,11,Nishant Hemrajani,10,1,Great product,1,"Overall a good phone for regular usage. Premium feel, fantastic display, fantastic speakers, fantastic camera. Bezels are little thick but wont bother you in regular usage. Phone not meant for gaming.",294
124,125,Udayraj More,0,0,Unsatisfactory,0,No battery battery drain in 3hrsAs well as phone heating issueBad phone ... don't buy this phone.,149
464,465,Rishu Singh,0,0,Awesome,1,This phone really osm 💯.,40
1230,1231,Shashi Singh,0,0,Good choice,1,Very nice.,17
67,68,Flipkart Customer,2,1,Best in the market!,1,"1. Galaxy AI ✨ is super fun to use.2. The camera 📷 is awesome.3. The design is great 👍.4. The processor is powerful, but sometimes it generates heat 🥵.5. The battery 🔋 is average, but since it's 4,500 mAh, that's okay..",343
1178,1179,Umesh Chandra Nainwal (UCN),0,0,Wonderful,1,Very nice camera is good  value for money Thanks Flipkart Really Thanks ?? ??????????.,128
989,990,Ankit,0,2,Best in the market!,1,Nice product In this price best phone ?????Thanks.,75
650,651,Meena Naga kumar,0,0,Terrific,1,Super mobile.,20
990,991,Sha hnawaz,0,1,Awesome,1,Good phone and worth to purchase.,52
1080,1081,Ashutosh  Singh,0,0,Highly recommended,1,Best phone in allround.,36
246,247,Debaprosad Bhattacharya,1,0,Just wow!,1,I like this mobile.,32
569,570,Saddam Khalifa,0,0,Brilliant,1,Superb.,11
1052,1053,Bhavana Khriste,0,0,Perfect product!,1,Very nice product.,28
57,58,SUMAN BISWAS,2,1,Value-for-money,1,"Camera is very good. Video is very good. Performance very good. Display very good. Speaker very good. No 3.5mm. Charging very slow, Overheating, Draining very fast even in power saving mode. Phone is slippery. Most likely to fall from hand. Except Battery most things are very good..",425
41,42,Manas Kumar  Panda,13,8,Nice,1,Battery is pathetic.. not expected at this price  point.. better to go with IPhone...,127
1263,1264,SIDDARAJU NAIK b,0,1,Value-for-money,1,Superb.,11
610,611,Manikanta Uppu,0,4,Horrible,0,"My microphone not working in speaker Worst phone all bugs and software issues, haptic latency, don't buy and waste money.",182
302,303,Vysakh Shaji,2,2,Classy product,1,Superb performance and premium look camera 👌.,67
608,609,Gopinathan Rajendran,0,0,Terrific purchase,1,Camera is top-notch and the mobile is good so far no heating issue nor any bugs.Those who are looking for picture quality can go blindly with this..,230
58,59,Narottam Das,2,1,Value-for-money,1,Nice phone.,18
778,779,Amar Kumar,0,0,Wonderful,1,Nice ?? phone.,24
145,146,Ankith Sharma,81,14,Perfect product!,1,Nice phone .very good gaming experiences.,60
242,243,Ganesh Chinnu,1,0,Perfect product!,1,Awesome one plus 11r.,34
766,767,Piyush Sinha,2,0,Does the job,1,Battery is not good.,33
1393,1394,ZHARNA KUMAR BORA,0,0,Brilliant,1,Heavy product. Take it lightly...Must buy....,64
97,98,Amitesh  Kumar ,1,0,Best in the market!,1,A superb phone in the price segment..,59
1350,1351,Abhijeet Joshi,0,0,Worst experience ever!,0,"Battery performance is very poor and doesn't last more than 5 hours SOT without heavy apps usage, The camera is average, the display is very good, it's a huge phone it may take some time to get used to if you have not used large display phone earlier.",396
172,173,Arnab  Mukherjee ,4,0,Brilliant,1,"Product is good,, but it might be increase their battery ability.",99
1062,1063,Nambu Siva,0,0,Delightful,1,Sound and display superb. Lite heat.,55
1075,1076,KAUSIK NAYEK,0,0,Brilliant,1,Overall performance is good...,43
710,711,Prasanta Halder,3,0,Good choice,1,This phone is really nice.,42
345,346,Raju Roy,0,0,Super!,1,Best Quality....,23
4,5,Anuj Verma,252,97,Excellent,1,Battery last Max a day with moderate use. Rest is best..,90
128,129,Shaikh Sharif,0,0,Awesome,1,Very good 😊.,22
1165,1166,mahesh P,0,0,Great product,1,Excellent.,14
229,230,swapnil sawant,1,0,Classy product,1,It's so wonderful mobile thanks to OnePlus I m so happy 😊.,95
389,390,Umme Sufiya,0,0,Mind-blowing purchase,1,Nice product thank you Flipkart and OnePlus.,66
475,476,subrat  mishra ,1,2,Worthless,0,Camera is good .display is very good.not for gaming like pubg or bgmi.too many lags and fps drop issue.when playing bgmi in 90 fps phones temp rise up to 45 degree..,259
340,341,Victor Lawmtea,0,0,Good quality product,1,very good product.,28
1256,1257,Kanchan Gupta,0,0,Really Nice,1,Best phone for everything.Only one drawback and it is gaming.,92
1294,1295,Shravan Kumar Suna,0,0,Simply awesome,1,It's a flagship smartphone for this segment.,66
1405,1406,Amit Hiwrale,0,0,Classy product,1,Fooking Awesome.,23
640,641,Flipkart Customer,0,0,Terrific,1,Nice product. Good performance.,44
1323,1324,Deepak Kumar,1,1,Could be way better,0,Battery more drained very bad quality.,57
1248,1249,Nishchal B A,0,0,Great product,1,"Best camera phone in this price segment. Loved the screen resolution and haptics. Good battery backup. Smooth gaming experience, no lag, High refresh rate screen..",239
1115,1116,Shivam  Kumar,0,0,Just wow!,1,Camera is awesome. Processor is best in segment. Battery should be improve..,113
877,878,Anke Omnath,0,0,Fair,1,Battery performance is very Poor.,49
1339,1340,Rameez Sayyed,0,0,Mind-blowing purchase,1,Awesome phone overall macho.,41
484,485,siraj Khan,0,0,Perfect product!,1,Good.,9
494,495,Bharti Pushkar,0,0,Classy product,1,Wow incredible phone 📱 ilovedit.,48
1203,1204,Kedarnath Jhodia,0,0,Wonderful,1,I like it.??EAD MORE,33
846,847,Preetam Das,1,0,Terrific purchase,1,Great.,10
704,705,Shubhadip giri Shubhadip,7,1,Terrific,1,Vare nice ???????? aim happy.,45
359,360,Raja Mandal,0,0,Terrific,1,Good.,9
728,729,Koushik Rajabala,6,2,Brilliant,1,I like the design and experience this not an heavy device but you can go for under 30k.,142
80,81,SK ABDUL RAQUIB,1,0,Fabulous!,1,Camera and display quality is awesome 👌 Battery need to be improve better Design is premium 👌 feel good in hand                           I'm rating 7.5 out of 10 because of heating a bit.,259
933,934,Omkar Tembhekar,0,0,Excellent,1,Performance - 5/5Camera - 5/5  (according to price camera is best)Display - 5/5Battery - 3.5/5Design - 4.5/5Connectivity - 4.5/5Satisfaction - 5/5.,210
147,148,Shubham Goel,25,2,Good quality product,1,Value for money.Camera is good.Performance is good.Everything related to this product is good..,135
154,155,Nagu Nagendra,67,20,Terrific purchase,1,Wonderful performance with camera in touch screen display design all.,100
1121,1122,Nishant Singh,0,0,Good quality product,1,Love too buy this phone.,40
31,32,Flipkart Customer,2,0,Very Good,1,Battery will drain easily and touch and all good and camera is same Iike iPhone or better than that as I used.,177
118,119,Aravinth Krishna,2,1,Unsatisfactory,0,"It has heating issue, like bike engine.",61
708,709,Kamal Somani,8,1,"Poor Camera, Battery , Network. Do not waste your money.",1,I am really dissatisfied with the camera performance.. given that it has a flagship Sony IMX890 sensor .. but its really disappointing.. also Video performance is not good.poor Low light performance. Other phones with same camera sensor with better picture output. Also Battery is not good.. given its large 5000 mh battery it hardly last full day with light usages... hardly gives 3hrs of Screen on time. only plus is clean Software.. hope they can fix the camera performance..,716
885,886,Sumanta  Kirsani ,1,0,Decent product,1,Good and fantastic.,29
644,645,Flipkart Customer,0,0,Must buy!,1,super.,10
1360,1361,Ajay Danewa,0,0,Simply awesome,1,Very good phone at reasonable price.,55
1242,1243,Flipkart Customer,0,0,Value-for-money,1,amazing.,12
721,722,Flipkart Customer,3,0,Highly recommended,1,"Phone is look good.design,camera, display all good.battery drain fastly..",101
872,873,Flipkart Customer,1,0,Nice,1,Lag perfo.,17
530,531,Ganesh  Charan,0,0,Highly recommended,1,Awesome mobile...,24
196,197,E.V. Kumar 202,2,0,Excellent,1,It's a awesome.,25
493,494,Bhanu Prakash,0,0,Very Good,1,Everything works fine good quality and finest mobile.,78
459,460,Hansraj Vispute,0,0,Pretty good,1,Good camera..,20
1383,1384,Monu  Singh,0,0,Highly recommended,1,It's a nice phone in this budget. Performance is super and when hold it in your hands you will feel it premium.,178
586,587,Avinesh Kumar,0,0,Just wow!,1,Good Phone 👍.,23
1140,1141,Imtiyaaz Ahmad,1,0,Terrible product,0,Battery is draining very fast.,46
609,610,Yash Chauhan,0,0,Wonderful,1,Money worth phone..... Awesome experience 💙.,63
1041,1042,Balaji C,0,0,Just wow!,1,Awesome product... Top on everything... OnePlus????.,71
630,631,Sharath Kumar,0,0,Highly recommended,1,Amazing phone everything is perfect i love this proformance beast phone thank you Flipkart.,134
54,55,Sandeep  Patel,2,0,Nice,1,Good but battery is bad not buy this switch other mobile.,91
1309,1310,Khema Ram  Choudhary,0,0,Brilliant,1,"One problem, the heating being more in the day time.Other wise this product is good.Camera , performance and display are very good.??.",201
1063,1064,Rajesh Ladva,1,2,Worst experience ever!,0,Waste of money.,25
404,405,Sonu Yadav,0,0,Highly recommended,1,Nice phone.,18
1307,1308,Ayush Kumar,0,0,Fair,1,Liked it.,16
988,989,Flipkart Customer,0,0,Super!,1,"Good product,i like this,.",39
1028,1029,Gouse Pasha,0,2,Bad quality,0,Not odare this phone.,34
580,581,Suryakiran Yerramsetti,0,0,Highly recommended,1,Good.,9
513,514,Jatin Sohal,0,0,Really Nice,1,Good phone but price is bit high.,55
271,272,MAHBOOB  ALI,1,0,Mind-blowing purchase,1,Camera is very goodPerformance is very fast very smooth bgmi 90 fpsBattery backup is goot Than you Flipkart.,163
144,145,Mosarof Hossain,36,4,Terrific,1,"On of the best budget flagship phone. Decent Camera, top performance, cool looking. It's really amazing experience..",168
189,190,Flipkart Customer,8,3,Awesome,1,Parfect camera phone baranded.,43
584,585,Md GUFRAN  ALI,0,0,Wonderful,1,This phone is superb quality design and build quality awesome but battery is draining not comfortable.,151
914,915,Salman Khan,0,0,Did not meet expectations,0,Very bad battery ?????? and over heating ??????.,73
582,583,Mayank Thakur,0,0,Terrific,1,Value for money.,26
1141,1142,Avikant Gill,0,0,Best in the market!,1,Best ????.,17
1216,1217,Swapnil Joshi,0,0,Pretty good,1,"The phone is good, but I received it at a high price after my buying price went down....!!!.",147
637,638,Anindya Bhowmick,0,0,Brilliant,1,Great product.,21
585,586,BICHITRA BORGOHAIN,0,0,Highly recommended,1,Excellent.,14
125,126,SANJAY  Shukla,2,1,Must buy!,1,best hai.,16
536,537,Avinash Pandey,0,0,Simply awesome,1,Nice Phone.,18
303,304,rohith kumar,2,2,Good choice,1,"Sd 8 gen 1 chip is the main selling point of this phone. Also, it is the main villain for this as it gets heated a lot during heavy gaming  and drains the battery significantly..",283
123,124,Santosh Mili,0,0,Just okay,1,Battery and heating problem. Otherwise it was an excellent phone.,96
411,412,Puja Maity,0,0,Really Nice,1,Nice product 🥰🥰🥰⭐⭐⭐⭐.,31
759,760,Md Hossain  Molla,6,4,Very Good,1,"This phone is good but the price is too high, the camera quality would be better, the battery is good But I want to inform everyone that there are better phones available at this price.",291
1186,1187,ganesh pawar,0,0,Just okay,1,Battery problem.,23
709,710,Arvind Kumar,14,6,Great product,1,Enough for me ??.,30
944,945,ALEX ALEX,3,8,Hated it!,0,Don't buy this phone.,34
856,857,DIPAM  Halder,1,0,Wonderful,1,OnePlus note 3 5g camera quality is good??.. Gaming parform is good ??. Display quality is excellent ??..,160
253,254,bharat  Sharma ,0,0,Great product,1,Superb in this price.,34
1149,1150,prashanth kotian,0,0,Simply awesome,1,Super phone.,19
373,374,Suhan Ahmed ,0,0,Simply awesome,1,Good One 🖇️.,22
439,440,Ananta Pradhan,0,0,Highly recommended,1,Nice.,9
1175,1176,Netwan Mirja,0,4,Not recommended at all,0,Mobile no okay.,25
108,109,Flipkart Customer,1,2,Pretty good,1,My first review in flipkart after using s23 fe.If u r heavy user having multiple task in day battery consumption is very fast..although a excellent product 👌.,240
448,449,Md Sakib Raza,0,0,Worth the money,1,Wow amazing product for my lifeI'm very happy 😊.,76
388,389,Prasad Allada,0,0,Super!,1,Good 💯.,14
1209,1210,Nazmul hosen Akhan,0,0,Worth the money,1,This product is almost okay. I am so happy for this product use. Thank you Flipkart..,134
308,309,Subhransu Sekhar  Dash ,1,1,Just wow!,1,Nice one.,16
65,66,Neettu Bhardwaj,3,2,Excellent,1,Best phone in 36 k budget overall fells flagship phone in hand  use nice picture quality but battery backup is low in full charge used to maximum 5 to 6 hours daily task use ovell best best phone 📱.,315
942,943,Kaushal Kumar,0,0,Good quality product,1,Good.,9
1008,1009,Gulmohd,0,0,Best in the market!,1,Awesome.,12
74,75,Hrushikesh Nalawade,2,1,Terrific,1,"Best for display, good camera setup and good decent performance..",96
1347,1348,Poulami Das,0,1,Good,1,Don't buy. Camera quality is very bad for this price.Better to buy Oppo reno 10 or other brands.The front Cam is hilarious for this hefty price..,224
1352,1353,Jay Kishan,0,0,Mind-blowing purchase,1,Amezing phone.,21
377,378,akilan akilan,0,0,Super!,1,Nice 📸.,14
1067,1068,Chandra kumar  Marar,0,0,Good quality product,1,Super.,10
1147,1148,Flipkart Customer,0,0,Worth the money,1,Great phone but expensive.,39
648,649,Mehtab  Mullick ,0,0,Mind-blowing purchase,1,"Under 40k , Snapdragon 8+GEN1, the only phone right now in market , great value for money product.. camera quality is avarage.. not flagship type.",222
1313,1314,Satya  Prakash,0,0,Does the job,1,Yea good quality.,27
931,932,SHAH NWAJ,0,0,Mind-blowing purchase,1,"Excellent deal, I'm satisfied personally because in terms of price  got quility awesome thank to Flipkart..",155
1334,1335,Subho Ranjit,0,0,Just okay,1,Avarage.,12
1392,1393,Flipkart Customer,0,0,Worth every penny,1,Amazing ????.,20
1275,1276,Debasish Chakraborty,0,0,Bad quality,0,Bettry bad .??????.,29
327,328,Borra Subbu,0,0,Terrific,1,Good 😊 work 👏👏.,28
512,513,Sulaiman sulaiman,0,0,Wonderful,1,Good product.,20
470,471,Ribeka Palghadmal,0,0,Great product,1,nice.,9
109,110,Jospaul Pius,1,0,Brilliant,1,The best.,16
929,930,pratha  shaw,0,0,Wonderful,1,Excellent phone and excellent camera.,53
920,921,ganesh kamthe,0,0,Wonderful,1,Very nice ????.,25
1025,1026,Sunil Suthar,0,0,Fabulous!,1,Nice product under the price segment.,56
1174,1175,Sachin Aryan,0,0,Perfect product!,1,Nice Phone.,18
1217,1218,PRAVIN  KUMAR,0,0,Wonderful,1,Good ??.,15
1228,1229,Flipkart Customer,0,0,Best in the market!,1,Good ??.,15
149,150,Rasibaddin Mollah,54,9,Excellent,1,Awesome.,12
451,452,Mayur Dongare,0,0,Classy product,1,Awesome phone with full pack specifications...,65
858,859,Rina Renthlei,1,0,Excellent,1,Good.,9
749,750,Nishat  Khan,2,0,Classy product,1,This phone is very good.It doesn't hang.It gets fully charged in 30-40min.sometimes phone is heating.Battery backup is for one day.overall everything is good and battery backup is average..,274
47,48,Kiran kumar  Pradhan ,6,0,Expected a better product,0,Total waste of moneyI request to all plz don't buy this phoneCamera is goodHeavy battery drainPhone getting too heat also in normal useOnce again and appeal not to buy s23feAlso not to believe any youtuber.,312
1345,1346,Ankit  Singh,0,0,Good choice,1,Best phone for one plus Nord 3.,53
1180,1181,Suresh  Kumar ,0,0,Does the job,1,Proserser is very fast but camra issu.,60
1308,1309,Kapil Mehra,0,0,Value-for-money,1,Superb phone better performance better camera quality But I think price is little bit highh Add some money and go for 11R.,189
1226,1227,Flipkart Customer,0,0,Brilliant,1,Nice mobile.,19
272,273,subhesh Gupta,1,0,Classy product,1,Super smooth and best design..,46
732,733,amol Suryawanshi ,4,1,Terrific,1,Camera is good.,25
943,944,Prit Kumar,0,0,Worth every penny,1,I got the best deal from flipkart perfect smartphone in this range.,104
456,457,Bajrang singh Rathore,0,0,Perfect product!,1,Good looking phone best performance.,52
349,350,Naga Durga ,0,0,Must buy!,1,Super.,10
994,995,Naresh  Pilla,0,0,Delightful,1,"Super good quality,so very nice and good.",63
647,648,manoj B,0,0,Super!,1,Good.,9
660,661,Flipkart Customer,0,0,Really Nice,1,It's nice.,17
594,595,Dalip Bhanwal,0,0,Wonderful,1,So far it's it too good. No problem as yet noticed. Everything performing as expected..,133
671,672,Flipkart Customer,10,0,Wonderful,1,Good mobile phone.,28
804,805,Flipkart Customer,1,0,Terrific,1,Soft mobaile is goo.,33
1251,1252,Raunak Kumar,0,0,Best in the market!,1,The product is ossm and don't know what to say all things are good.,110
726,727,Deepak Singh,4,0,Fair,1,"Product camera and everything  are awesome.But his battery back-up is too rough, I observed without any use in standby I loss 28% charge in 8 hour.Finally Normally uses of this fone total battery back-up is 6 to 7 hours only.When I use fone continue from 95 % to 15 % only in 4 hour 16 minutes..",463
1382,1383,Ramchandra Bhosale,0,0,Very Good,1,Super.,10
62,63,MD DILSHAD,0,0,Nice product,1,All good but battery and heating issues.,62
1316,1317,Kohar Singh,0,0,Highly recommended,1,Supb.,9
1058,1059,shuvam sarkar,2,1,Bad quality,0,Really Disappointed from Flipkart the phone that I received that have minor bend while watching from close angle and that also after few hours.This is the first time I am trying to return something.i am a also a prime member  from nextime I won't buy something or thing twice before purchasing..,448
161,162,Shamsul Bashar,7,0,Fabulous!,1,Camera Quality Rating 4 but everything else is great 😃👍🥰.,88
1355,1356,Mohammad Tayyab,0,0,Does the job,1,Front camera is just average.Back camera is better. Battery is awesomeCharging full battery swiftly is a great experience..,178
1056,1057,Flipkart Customer,0,0,Good,1,"The product is nice but it is facing problems like  overheating, less battery backup, and most of all thier is no sd card slot which is major drawback. Overall it is good device.",277
183,184,Afroz  Shaikh,3,0,Pretty good,1,Good looking with best flagship processor 👍With 1.5 day battery backup 🔋also camera is good and display crave looking like primium💕 One plus is back with 11r.,240
240,241,Surya  Prakash,1,0,Brilliant,1,Ok.,7
1252,1253,Flipkart Customer,0,0,Simply awesome,1,This is a all rounder phone for everything performance.,83
1046,1047,Shambhu Rajwar,0,0,Simply awesome,1,Nice pic Phone ???? super.,42
1349,1350,Sudhir  Bhati ,0,0,Just wow!,1,Excellent ??.,20
1131,1132,farhan khan,0,0,Terrible product,0,Battery backup very poor.,38
390,391,vinod Kumar  meena,0,0,Good choice,1,Super.,10
1193,1194,Ohid Laskar,0,0,Excellent,1,Good phone.,18
526,527,Devendra Pratap,0,4,Great product,1,👍👍🙂 nice 🙂.,21
1289,1290,Pritam Maji,0,0,Great product,1,I AM very happy.,29
380,381,Sagar Mohanty,0,0,Super!,1,Out standing performance.,35
1292,1293,Flipkart Customer,0,0,Really Nice,1,Good.,9
266,267,vimal raj,1,0,Fabulous!,1,Good product for security updates.,50
502,503,Nithin Kumar N K,0,0,Really Nice,1,Ok ok.,13
270,271,Jayesh Dhurpate,0,0,Good quality product,1,"Great phone as far as competition is considered,.",74
231,232,Amit Kumar,0,0,Wonderful,1,Very good product.,28
1109,1110,Flipkart Customer,0,0,Worth every penny,1,Wow.,8
401,402,Satya Lenka,0,0,Wonderful,1,Nice.,9
698,699,Raghav Vashishth,5,0,Just wow!,1,"Perfect dilivery, and very nice device i got.",70
1287,1288,Preetam Kumar,0,0,Very poor,0,Battery life is poor quality.,45
1200,1201,Abhijeet Anand,0,0,Classy product,1,Great product.Go grab it..,39
1032,1033,Ramdhan Yadav,0,1,Wonderful,1,Very very good phone.,34
369,370,Mahesh kumar meena Meena,0,0,Excellent,1,Good.,9
1092,1093,Suresh Todke,0,0,Don't waste your money,0,No allowed phone  No Gaming Lag.,50
841,842,Flipkart Customer,1,0,Highly recommended,1,Good Camera.,19
515,516,Raju Aryan,2,1,Terrible product,0,Heated so much.,25
476,477,GANESH KUMAR  MAHTO ,0,0,Terrific purchase,1,Super vooc is so super. Good photo with blazing fast processor Fully satisfied. The camera is also good enough for great photos. Look is so slim and classy..,242
1298,1299,Kaustav Choudhury,0,0,Super!,1,If the camera could have been a tad better i would have called it a complete phone at this price point. But it lacks consistency..,206
1079,1080,Rajesh Mehta,0,0,Wonderful,1,Product is good but battery drains like anything.,74
873,874,Raja  Babu ,0,0,Good,1,Excellent ????????.,26
332,333,Swastik Tiwari,0,0,Best in the market!,1,Worth it.,16
227,228,Aftab Shaikh,1,0,Classy product,1,Awesome mobile camera like DSLR.,48
1096,1097,Gunachandiran .S,0,0,Nice,1,Good but high performance mode  enable  drain battery.,77
1353,1354,Soham Rathava,0,2,Best in the market!,1,Best Phone for GamingPerformance is beastCamera also goodFast chargingDisplay is awesomeDesign perfect.,140
192,193,Anurag Singh,4,2,Worth every penny,1,"Had an damn amazing experience with my first OnePlus mobile as 11R . It's a super amazing phone with decent camera at this price point. The processor is at it's best.If you need a mobile at 40k with super amazing processor,haptics and an amazing Dolby Atmos experience then you should just go for this mobile and outstanding screen quality too.Cons:- You should go for Galactic silver colour because the black one is very slippery and mobile is not at compact size, tertiary the selfie camera is ....",762
469,470,Vansh  Jain,0,0,Simply awesome,1,Nice phone.,18
779,780,Omm Mishraaa,1,0,Good choice,1,No doubt camera and performance is preety good?????? but it have heating issue ?? night camera is superb ????.,168
